<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2009.06.12	8947.29	8982.59	8894.39	8978.39	8078	0	0
2009.06.15	8975.79	8975.79	8755.19	8793.59	9213	0	0
2009.06.16	8789.69	8820.79	8676.79	8681.09	9393	0	0
2009.06.17	8681.69	8740.19	8638.69	8678.09	9439	0	0
2009.06.18	8673.99	8767.09	8652.99	8726.99	9065	0	0
2009.06.19	8739.59	8792.89	8674.29	8714.39	8954	0	0
2009.06.22	8713.89	8713.89	8512.19	8514.19	9157	0	0
2009.06.23	8517.69	8548.09	8463.89	8493.99	9199	0	0
2009.06.24	8500.79	8605.59	8437.49	8478.59	9304	0	0
2009.06.25	8475.99	8667.59	8436.89	8648.39	9375	0	0
2009.06.26	8643.09	8643.09	8578.89	8607.79	8803	0	0
2009.06.29	8617.29	8710.39	8606.49	8706.79	8742	0	0
2009.06.30	8705.89	8737.39	8572.49	8626.69	9116	0	0
2009.07.01	8624.79	8757.49	8624.79	8677.39	8683	0	0
2009.07.02	8680.29	8680.29	8468.89	8468.89	8593	0	0
2009.07.03	8457.99	8457.99	8457.99	8457.99	1	0	0
2009.07.06	8456.59	8505.09	8383.49	8502.29	8327	0	0
2009.07.07	8501.39	8502.29	8331.99	8336.69	8775	0	0
2009.07.08	8333.79	8396.69	8264.69	8357.59	9423	0	0
2009.07.09	8356.29	8405.99	8322.69	8354.79	9024	0	0
2009.07.10	8299.59	8360.09	8267.49	8316.59	12674	0	0
2009.07.13	8311.59	8505.69	8244.09	8486.19	21915	0	0
2009.07.14	8488.19	8738.29	8457.29	8601.79	22448	0	0
2009.07.15	8595.79	8800.79	8577.79	8766.59	18834	0	0
2009.07.16	8766.09	8911.59	8724.59	8873.59	19611	0	0
2009.07.17	8873.09	8930.29	8833.59	8918.79	16868	0	0
2009.07.20	8916.29	8996.29	8889.79	8988.29	7308	0	0
2009.07.21	9009.59	9119.29	8985.29	9103.09	18115	0	0
2009.07.22	9103.59	9125.29	9029.09	9051.79	17832	0	0
2009.07.23	9050.29	9271.29	9047.79	9173.69	18493	0	0
2009.07.24	9174.69	9274.79	9168.69	9269.29	15868	0	0
2009.07.27	9272.29	9331.79	9208.89	9288.39	16331	0	0
2009.07.28	9287.89	9305.39	9180.09	9262.79	16221	0	0
2009.07.29	9259.79	9271.29	9174.79	9246.39	18641	0	0
2009.07.30	9275.89	9421.59	9255.89	9315.29	18567	0	0
2009.07.31	9303.79	9391.69	9289.29	9336.79	18738	0	0
2009.08.03	9317.29	9471.79	9317.29	9461.19	18661	0	0
2009.08.04	9461.69	9496.29	9400.69	9492.19	17172	0	0
2009.08.05	9504.09	9513.59	9378.39	9451.39	16794	0	0
2009.08.06	9432.29	9518.29	9381.39	9429.29	17670	0	0
2009.08.07	9429.79	9611.09	9400.79	9540.79	19080	0	0
2009.08.10	9528.89	9547.29	9463.09	9512.29	16302	0	0
2009.08.11	9520.69	9552.69	9390.39	9416.19	16608	0	0
2009.08.12	9417.89	9597.79	9360.59	9530.39	18293	0	0
2009.08.13	9539.89	9630.89	9473.59	9574.19	17461	0	0
2009.08.14	9586.19	9608.19	9406.19	9492.69	17583	0	0
2009.08.17	9502.09	9505.09	9289.29	9310.19	20349	0	0
2009.08.18	9306.29	9408.79	9305.79	9386.29	15921	0	0
2009.08.19	9381.89	9486.09	9296.89	9453.39	16463	0	0
2009.08.20	9459.89	9536.39	9433.89	9518.89	14432	0	0
2009.08.21	9499.79	9692.59	9435.79	9672.89	16380	0	0
2009.08.24	9673.39	9762.19	9659.89	9686.39	17166	0	0
2009.08.25	9672.39	9798.59	9627.89	9714.29	16881	0	0
2009.08.26	9705.29	9755.79	9658.79	9720.69	17386	0	0
2009.08.27	9713.19	9783.79	9630.29	9753.89	16696	0	0
2009.08.28	9750.19	9819.69	9668.89	9722.69	16885	0	0
2009.08.31	9710.69	9741.19	9609.59	9672.79	16603	0	0
2009.09.01	9677.69	9733.89	9466.09	9485.09	23155	0	0
2009.09.02	9482.09	9519.09	9436.79	9447.79	19623	0	0
2009.09.03	9453.29	9532.29	9426.29	9508.89	15509	0	0
2009.09.04	9510.39	9618.89	9494.69	9613.39	20469	0	0
2009.09.07	9591.89	9666.39	9581.39	9657.89	10232	0	0
2009.09.08	9661.19	9705.19	9624.09	9666.59	19496	0	0
2009.09.09	9653.59	9751.29	9620.59	9715.39	18557	0	0
2009.09.10	9707.69	9808.59	9680.19	9794.69	15023	0	0
2009.09.11	9779.59	9822.29	9744.69	9781.59	16663	0	0
2009.09.14	9745.89	9803.19	9669.39	9795.19	20770	0	0
2009.09.15	9779.69	9888.59	9752.69	9850.69	20185	0	0
2009.09.16	9839.19	9974.29	9837.19	9966.79	16558	0	0
2009.09.17	9960.59	10028.39	9923.59	9962.79	17687	0	0
2009.09.18	9964.79	10021.39	9917.79	9985.79	17278	0	0
2009.09.21	9956.29	9978.19	9897.79	9950.39	14760	0	0
2009.09.22	9950.89	10025.89	9946.39	9999.19	13660	0	0
2009.09.23	9999.69	10093.59	9915.59	9928.59	15505	0	0
2009.09.24	9938.09	9992.59	9838.59	9874.29	19369	0	0
2009.09.25	9858.79	9912.79	9813.89	9847.79	17706	0	0
2009.09.28	9839.69	9997.79	9805.19	9956.79	20893	0	0
2009.09.29	9974.29	10009.29	9912.79	9914.69	18959	0	0
2009.09.30	9915.19	9965.29	9779.69	9880.29	19640	0	0
2009.10.01	9903.29	9916.29	9673.79	9684.79	20239	0	0
2009.10.02	9686.29	9698.39	9572.39	9661.19	20304	0	0
2009.10.05	9678.69	9801.09	9654.19	9772.39	15931	0	0
2009.10.06	9779.39	9949.09	9761.39	9902.29	18014	0	0
2009.10.07	9898.29	9936.29	9849.39	9895.89	19780	0	0
2009.10.08	9946.39	10010.19	9920.59	9955.29	16703	0	0
2009.10.09	9979.79	10038.69	9934.29	10037.19	17374	0	0
2009.10.12	10061.69	10105.69	10022.19	10060.79	13065	0	0
2009.10.13	10042.79	10076.79	9987.79	10048.19	15513	0	0
2009.10.14	10104.19	10201.29	10089.69	10187.39	16148	0	0
2009.10.15	10185.39	10234.09	10134.89	10229.09	17098	0	0
2009.10.16	10205.09	10233.59	10112.69	10176.79	16747	0	0
2009.10.19	10135.29	10292.69	10103.79	10264.19	14823	0	0
2009.10.20	10263.19	10299.59	10165.19	10213.19	18726	0	0
2009.10.21	10211.29	10292.19	10114.99	10120.49	21615	0	0
2009.10.22	10123.19	10278.99	10084.19	10241.29	21838	0	0
2009.10.23	10282.29	10290.29	10106.49	10155.99	20010	0	0
2009.10.26	10163.99	10247.29	10017.99	10058.09	19643	0	0
2009.10.27	10051.09	10121.79	10010.99	10073.59	23408	0	0
2009.10.28	10063.59	10081.09	9928.49	9931.99	25298	0	0
2009.10.29	9940.99	10143.69	9937.99	10113.49	21363	0	0
2009.10.30	10112.99	10131.49	9857.29	9878.59	27306	0	0
2009.11.02	9921.59	10034.99	9855.19	9960.69	27925	0	0
2009.11.03	9990.19	9990.69	9851.69	9945.29	25884	0	0
2009.11.04	9950.69	10102.19	9949.19	9977.49	21672	0	0
2009.11.05	9979.49	10186.19	9939.49	10179.99	18432	0	0
2009.11.06	10161.69	10219.19	10087.19	10201.69	19314	0	0
2009.11.09	10212.09	10402.29	10208.59	10397.29	14206	0	0
2009.11.10	10397.69	10434.99	10361.19	10421.99	16177	0	0
2009.11.11	10460.49	10516.19	10419.69	10471.19	16201	0	0
2009.11.12	10479.69	10496.59	10343.19	10370.19	17794	0	0
2009.11.13	10383.69	10478.09	10365.19	10447.69	14993	0	0
2009.11.16	10479.99	10606.49	10473.99	10579.19	13714	0	0
2009.11.17	10564.69	10611.19	10531.19	10611.19	13802	0	0
2009.11.18	10619.29	10619.29	10533.99	10595.29	12619	0	0
2009.11.19	10590.79	10592.29	10429.59	10507.29	14653	0	0
2009.11.20	10509.69	10523.19	10430.69	10497.29	13516	0	0
2009.11.23	10526.29	10668.99	10517.29	10621.59	11337	0	0
2009.11.24	10595.09	10631.09	10531.29	10607.69	14565	0	0
2009.11.25	10592.19	10659.69	10592.19	10635.19	11663	0	0
2009.11.26	10632.19	10659.19	10435.69	10453.69	7947	0	0
2009.11.27	10452.69	10550.99	10301.49	10473.29	20167	0	0
2009.11.30	10511.29	10550.79	10436.49	10521.69	19253	0	0
2009.12.01	10505.69	10676.49	10505.69	10643.19	14682	0	0
2009.12.02	10643.69	10687.79	10595.19	10623.49	13496	0	0
2009.12.03	10637.99	10682.49	10521.99	10535.49	16026	0	0
2009.12.04	10525.99	10691.29	10484.29	10561.69	19214	0	0
2009.12.07	10589.19	10617.69	10507.69	10565.69	13797	0	0
2009.12.08	10601.19	10603.69	10422.69	10457.19	17719	0	0
2009.12.09	10472.09	10517.19	10408.09	10505.39	17147	0	0
2009.12.10	10528.19	10619.69	10479.19	10574.59	13411	0	0
