<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2018.01.02	04:00:00	24937.69	24937.69	24933.69	24936.19	160	0	60
2018.01.02	08:00:00	24936.69	24950.69	24899.69	24910.69	3883	0	60
2018.01.02	12:00:00	24909.69	25021.69	24909.69	24967.69	5178	0	60
2018.01.02	16:00:00	24968.69	24988.69	24899.19	24953.59	6420	0	60
2018.01.02	20:00:00	24952.59	24998.59	24945.09	24995.59	2524	0	60
2018.01.03	00:00:00	24993.09	25004.09	24989.09	24999.59	851	0	60
2018.01.03	04:00:00	25001.59	25010.59	24994.59	25000.59	684	0	60
2018.01.03	08:00:00	25001.59	25024.09	25000.59	25017.59	2208	0	60
2018.01.03	12:00:00	25018.59	25052.29	24999.59	25041.39	3082	0	60
2018.01.03	16:00:00	25046.39	25081.09	25026.59	25039.59	5788	0	60
2018.01.03	20:00:00	25039.09	25114.19	25037.49	25096.19	2681	0	60
2018.01.04	00:00:00	25085.89	25098.89	25075.89	25098.89	1134	0	60
2018.01.04	04:00:00	25098.39	25145.89	25097.89	25132.89	1681	0	60
2018.01.04	08:00:00	25132.39	25161.89	25122.89	25141.89	1689	0	60
2018.01.04	12:00:00	25140.89	25245.49	25137.89	25241.09	3828	0	60
2018.01.04	16:00:00	25241.59	25280.59	25215.89	25257.09	7372	0	60
2018.01.04	20:00:00	25256.59	25267.59	25239.49	25248.99	2535	0	60
2018.01.05	00:00:00	25274.49	25281.49	25264.49	25273.99	1043	0	60
2018.01.05	04:00:00	25273.49	25297.49	25271.99	25280.99	1152	0	60
2018.01.05	08:00:00	25281.49	25334.49	25280.49	25330.99	2068	0	60
2018.01.05	12:00:00	25331.49	25359.99	25283.49	25306.39	4235	0	60
2018.01.05	16:00:00	25306.89	25359.49	25286.69	25355.59	6390	0	60
2018.01.05	20:00:00	25356.59	25472.89	25346.19	25468.89	3388	0	60
2018.01.08	00:00:00	25548.39	25556.39	25539.89	25547.89	955	0	60
2018.01.08	04:00:00	25546.89	25549.89	25526.89	25533.39	852	0	60
2018.01.08	08:00:00	25532.39	25549.89	25496.39	25518.89	2151	0	60
2018.01.08	12:00:00	25502.89	25502.89	25416.89	25440.69	4222	0	60
2018.01.08	16:00:00	25441.19	25486.79	25411.19	25473.39	6623	0	60
2018.01.08	20:00:00	25472.39	25479.29	25441.09	25453.99	2412	0	60
2018.01.09	00:00:00	25469.99	25472.99	25434.99	25444.49	1729	0	60
2018.01.09	04:00:00	25444.99	25464.99	25440.99	25463.99	933	0	60
2018.01.09	08:00:00	25464.99	25498.49	25459.99	25486.99	1484	0	60
2018.01.09	12:00:00	25487.49	25533.99	25476.49	25506.29	3259	0	60
2018.01.09	16:00:00	25505.79	25613.39	25495.79	25612.39	7393	0	60
2018.01.09	20:00:00	25612.89	25614.39	25552.19	25562.69	3158	0	60
2018.01.10	00:00:00	25560.19	25570.19	25551.19	25560.69	1305	0	60
2018.01.10	04:00:00	25561.19	25582.19	25561.19	25570.19	1408	0	60
2018.01.10	08:00:00	25569.69	25569.69	25421.69	25431.69	3965	0	60
2018.01.10	12:00:00	25432.19	25518.19	25432.09	25463.39	6690	0	60
2018.01.10	16:00:00	25463.89	25579.19	25452.89	25567.29	8241	0	60
2018.01.10	20:00:00	25567.79	25571.29	25506.79	25543.79	4145	0	60
2018.01.11	00:00:00	25571.79	25579.79	25529.79	25532.79	1447	0	60
2018.01.11	04:00:00	25533.79	25593.79	25531.29	25568.79	1967	0	60
2018.01.11	08:00:00	25569.79	25588.79	25552.79	25562.79	2185	0	60
2018.01.11	12:00:00	25563.29	25626.99	25561.79	25625.49	4044	0	60
2018.01.11	16:00:00	25626.49	25704.99	25614.89	25683.09	7185	0	60
2018.01.11	20:00:00	25683.59	25750.49	25675.89	25744.49	2529	0	60
2018.01.12	00:00:00	25750.99	25770.49	25742.49	25766.49	1210	0	60
2018.01.12	04:00:00	25765.99	25783.49	25756.49	25781.49	1417	0	60
2018.01.12	08:00:00	25780.49	25875.49	25776.49	25858.99	2791	0	60
2018.01.12	12:00:00	25858.49	25917.59	25796.49	25913.29	5127	0	60
2018.01.12	16:00:00	25912.79	25964.89	25885.29	25947.79	7284	0	60
2018.01.12	20:00:00	25947.29	25984.59	25918.89	25976.59	3645	0	60
